domain,ransomwareGroup,timestamp,lockbitURL,domainCountry,domainDescription
soco.be,lockbit3,19/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/3Gqah3c1NbBxHWR865d34e1e3a33b,BE,Voitures d'occasion � partir de Zéro kilomètre
aeromechinc.com,lockbit3,19/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/CPdV8mXxMmpBNtlb65c54a7c76b85,US,"AeroMech Incorporated is a small, dynamic FAA ODA that specializes in airworthiness / aircraft certification, flight testing and provides engineering services to OEMs, airlines, operators, modification shops, and military customers worldwide. AeroMec..."
carlfischer.com,lockbit3,18/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Uz8qmS9V6DxDx35z65cddf8008afa,US,Helping educators and musicians
bucher-strauss.ch,lockbit3,18/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/AFAwNYV522goHDPb65c405b57c860,CH,140 gigabytes of data
etisalat.ae,lockbit3,16/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/1qmrTNVS85xICCjL65cf69e273c88,AE,"Emirates Telecommunications Group Company PJSC, doing business as etisalat by e&, is an UAE state-owned telecommunications company. It is the 18th largest mobile network operator in the world by number of subscribers."
theclosingagent.com,lockbit3,16/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/TjswU9NOdDWWSFo865cf0428d543e,US,The Closing Agent is the Orlando Title Company. Real Estate Closing Solution for all of title insurance and settlement needs.Hundreds of terabytes with sensitive data are in our possession.
spaldingssd.com,lockbit3,16/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/OJ8tk3qQQPdJrbOE65cf1bc14ce9f,CA,"Spalding SSD was established in Calgary in 1952 and has been providing opening solutions to Alberta and Western Canada ever since. Today, we have vast experience providing doors, frames and access control to schools, hospitals, and municipalities on..."
tormetal.cl,lockbit3,16/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/SyiGJagkWgeZcHsZ65cf1c54042f1,CL,
champion.com.co,lockbit3,15/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/aarRhVmF2Q14zsOR65cddfdf04073,CO,International freight forwarding & logistics providers
coreengg.com,lockbit3,15/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/6iraxOSwyCITdVt565cde0df8ffe9,US,"Core Engineering LLC was founded in 2007, in Corpus Christi, TX. We have grown over the last few years, expanding our services over several states. We are a full-service engineering firm with a multi-discipline team of highly-motivated professionals."
